checkpoint,seed_start,seed_end,max_steps,top_k,best_seed,best_steps,best_score,best_max_tile,avg_steps_all,avg_score_all,avg_max_tile_all,avg_steps_topk,avg_score_topk,avg_max_tile_topk
dqn_openspiel_2048.pt,0,5000,5000,10,4395,986,16516.0000,1024,324.6201,4240.8558,325.8420,894.4000,14918.4000,1024.0000
dqn_openspiel_2048_shaped.pt,0,5000,5000,10,4743,788,12896.0000,1024,243.2937,2901.3461,227.1482,721.3000,11884.4000,972.8000
